"Team","Record","ELO","Rank","ELO Delta"
"Evansville","4-25",977.85,338,1
"Bradley","5-23",960.83,339,5
"UMass-Lowell","4-24",960.75,340,3
"Xavier","1-26",960.7,341,-3
"Pepperdine","3-24",954.35,342,-2
"Hampton","3-23",950.97,343,-8
"Saint Bonaventure","4-25",947.7,344,-2
"Mississippi Valley State","4-25",943.07,345,2
"Marist","5-23",939.39,346,NA
"Long Island","7-21",935.13,347,1
"Robert Morris","4-24",924.33,348,-3
"McNeese","2-24",921.32,349,NA
"Alabama State","3-24",921.08,350,NA
"Western Carolina","3-23",920.78,351,3
"Stonehill","4-24",917.88,352,NA
"Saint Francis (PA)","5-23",905.77,353,-2
"Cal State Northridge","3-25",896.55,354,-1
"SIUE","4-26",894.78,355,1
"Queens","4-22",894.41,356,-1
"Wagner","5-21",872.16,357,NA
"South Carolina State","2-26",855.27,358,NA
"Houston Christian","2-22",852.73,359,NA
"Chicago State","0-26",826.23,360,NA
