"Team","Wins","Losses","ELO","Conference","Region"
"VCU",16,12,1565.8,"Atlantic 10","East"
"Vermont",20,11,1450.72,"America East","East"
"Villanova",24,9,1769.73,"Big East","East"
"Virginia",5,22,1389.51,"ACC","East"
"Virginia Tech",23,10,1792.63,"ACC","East"
"Wagner",17,12,1334.47,"NEC","East"
"Wake Forest",16,17,1500.03,"ACC","East"
"Washington",7,16,1450.08,"Pac-12","West"
"Washington State",19,11,1701.68,"Pac-12","West"
"Weber State",11,20,1232.52,"Big Sky","West"
"West Virginia",15,15,1631.45,"Big 12","South"
"Western Carolina",3,23,988.95,"SoCon","South"
"Western Illinois",12,15,1292.71,"Summit League","Midwest"
"Western Kentucky",17,12,1437.64,"C-USA","South"
"Western Michigan",14,14,1426.31,"MAC","Midwest"
"Wichita State",14,16,1412.08,"AAC","East"
"William & Mary",9,20,1298.1,"CAA","East"
"Winthrop",5,22,1111.57,"Big South","South"
"Wisconsin",8,21,1365.45,"Big Ten","Midwest"
"Wofford",14,14,1373.32,"SoCon","South"
"Wright State",3,19,1231.86,"Horizon","Midwest"
"Wyoming",15,13,1541.22,"Mountain West","West"
"Xavier",9,21,1273.21,"Big East","East"
"Yale",16,11,1498.72,"Ivy League","East"
"Youngstown State",21,7,1496.2,"Horizon","Midwest"
