"Team","Wins","Losses","ELO","Conference","Region","Ranking.Estimate.1"
"Princeton",24,6,1666.29,"Ivy League","East",1440
"Providence",13,19,1223.1,"Big East","East",1125
"Purdue",19,11,1507.47,"Big Ten","Midwest",1306.66666666667
"Purdue Fort Wayne",13,19,1249.28,"Horizon","Midwest",1125
"Queens",5,21,994.12,NA,"South",953.846153846154
"Quinnipiac",21,9,1409.81,"MAAC","East",1360
"Radford",12,17,1168.5,"Big South","South",1131.03448275862
"Rhode Island",26,7,1556.96,"Atlantic 10","East",1430.30303030303
"Rice",23,9,1444.92,"AAC","East",1375
"Richmond",21,11,1471.42,"Atlantic 10","East",1325
"Rider",10,21,1143.32,"MAAC","East",1058.06451612903
"Robert Morris",9,19,1134.45,"Horizon","Midwest",1057.14285714286
"Rutgers",12,20,1333.9,"Big Ten","Midwest",1100
"Sacramento State",25,8,1464.54,"Big Sky","West",1406.06060606061
"Sacred Heart",18,14,1305.83,"NEC","East",1250
"Saint Bonaventure",6,26,1082.9,"Atlantic 10","East",950
"Saint Francis (NY)",10,19,1122.18,NA,NA,1075.86206896552
"Saint Francis (PA)",7,22,1031.19,"NEC","East",993.103448275862
"Saint John's",23,9,1537.55,"Big East","East",1375
"Saint Joseph's",20,11,1392.48,"Atlantic 10","East",1316.12903225806
"Saint Louis",17,18,1504.8,"Atlantic 10","East",1188.57142857143
"Saint Mary's College",13,18,1249.88,"WCC","West",1135.48387096774
"Saint Peter's",0,30,872.18,"MAAC","East",800
"Saint Thomas",13,17,1231.4,"Summit League","Midwest",1146.66666666667
"Sam Houston State",11,17,1205.64,"Southland","South",1114.28571428571
"Samford",10,17,1169.03,"SoCon","South",1096.2962962963
"San Diego",18,14,1428.47,"WCC","West",1250
"San Diego State",21,11,1403.52,"Mountain West","West",1325
"San Francisco",17,13,1350.16,"WCC","West",1253.33333333333
"San Jose State",6,25,1091.28,"Mountain West","West",954.838709677419
"Santa Clara",13,17,1232.6,"WCC","West",1146.66666666667
"Seattle University",6,24,1071.42,"WAC","West",960
"Seton Hall",19,15,1444.19,"Big East","East",1247.05882352941
"Siena",19,13,1296.11,"MAAC","East",1275
"SIUE",9,22,1116.98,"OVC","Midwest",1032.25806451613
"SMU",17,13,1381.09,"AAC","East",1253.33333333333
"South Alabama",6,23,1045.64,"Sun Belt","South",965.51724137931
"South Carolina",36,1,1951.99,"SEC","South",1578.37837837838
"South Carolina State",3,27,912.8,"MEAC","South",880
"South Carolina Upstate",9,20,1077.4,"Big South","South",1048.27586206897
"South Dakota",12,16,1248.78,"Summit League","Midwest",1142.85714285714
"South Dakota State",29,6,1657.17,"Summit League","Midwest",1462.85714285714
"South Florida",27,7,1656.42,"AAC","East",1435.29411764706
"Southeast Missouri",13,15,1256.13,"OVC","Midwest",1171.42857142857
"Southeastern Louisiana",19,10,1364.25,"Southland","South",1324.13793103448
"Southern",16,15,1309.23,"SWAC","South",1212.90322580645
"Southern Illinois",12,19,1269.79,"MVC","Midwest",1109.67741935484
"Southern Indiana",9,17,1091.53,NA,"South",1076.92307692308
"Southern Miss",19,10,1395.25,"C-USA","South",1324.13793103448
"Southern Utah",21,10,1502.19,"WAC","West",1341.93548387097
"Stanford",29,6,1747.65,"Pac-12","West",1462.85714285714
"Stephen F. Austin",25,7,1518.1,"Southland","South",1425
"Stetson",11,20,1174.43,"ASUN","South",1083.87096774194
